Node	1	2	3	4	5	6	7	8	9
1	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
2	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
3	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
4	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
5	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
6	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
7	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
8	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
9	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
10	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
11	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
12	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
13	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
14	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
15	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
18	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
19	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
20	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
21	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
22	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
23	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
24	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
25	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
26	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
27	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
28	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
29	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
30	Other2	Other2	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
